Gene,Regulation,Timepoint
C14orf159,Up,1h
C14orf169,Up,1h
C14orf2,Up,1h
C14orf80,Up,1h
C15orf38-AP3S2,Up,1h
C15orf39,Up,1h
C15orf57,Up,1h
C16orf13,Up,1h
C16orf62,Up,1h
C16orf91,Up,1h
C16orf93,Up,1h
C17orf59,Up,1h
C17orf70,Up,1h
C17orf89,Up,1h
C17orf96,Up,1h
C18orf25,Up,1h
C19orf10,Up,1h
C19orf43,Up,1h
C19orf47,Up,1h
C19orf48,Up,1h
C19orf53,Up,1h
C19orf66,Up,1h
C19orf70,Up,1h
C19orf71,Up,1h
C1orf106,Up,1h
C1orf122,Up,1h
C1orf131,Up,1h
C1orf140,Up,1h
C1orf159,Up,1h
C1orf198,Up,1h
C1orf21,Up,1h
C1orf216,Up,1h
C1orf228,Up,1h
C1orf229,Up,1h
C1orf43,Up,1h
C1orf50,Up,1h
C1orf52,Up,1h
C1orf54,Up,1h
C1orf86,Up,1h
C1orf95,Up,1h
C1QBP,Up,1h
C20orf24,Up,1h
C20orf27,Up,1h
C21orf2,Up,1h
C21orf33,Up,1h
C2CD2,Up,1h
C2CD2L,Up,1h
C2CD5,Up,1h
C2orf44,Up,1h
C3,Up,1h
C3AR1,Up,1h
C3orf33,Up,1h
C3orf62,Up,1h
C3orf80,Up,1h
C4orf19,Up,1h
C4orf3,Up,1h
C4orf48,Up,1h
C5AR1,Up,1h
C5orf15,Up,1h
C5orf28,Up,1h
C6orf106,Up,1h
C6orf136,Up,1h
C6orf226,Up,1h
C6orf48,Up,1h
C7orf26,Up,1h
C7orf50,Up,1h
C8orf33,Up,1h
C8orf44-SGK3,Up,1h
C8orf59,Up,1h
C8orf82,Up,1h
C9orf114,Up,1h
C9orf142,Up,1h
C9orf16,Up,1h
C9orf3,Up,1h
C9orf37,Up,1h
C9orf64,Up,1h
C9orf66,Up,1h
C9orf69,Up,1h
C9orf78,Up,1h
C9orf89,Up,1h
CA11,Up,1h
CA2,Up,1h
CAB39L,Up,1h
CACFD1,Up,1h
CACNB4,Up,1h
CACNG8,Up,1h
CACTIN,Up,1h
CACTIN-AS1,Up,1h
CACYBP,Up,1h
CAD,Up,1h
CADM4,Up,1h
CALHM2,Up,1h
CALM1,Up,1h
CALM2,Up,1h
CALM3,Up,1h
CALML4,Up,1h
CALR,Up,1h
CAMK1,Up,1h
CAMK2B,Up,1h
CAMKMT,Up,1h
CAMSAP1,Up,1h
CAMSAP2,Up,1h
CAMTA1,Up,1h
CANT1,Up,1h
CAP1,Up,1h
CAP2,Up,1h
CAPG,Up,1h
CAPN1,Up,1h
CAPN10,Up,1h
CAPN15,Up,1h
CAPN2,Up,1h
CAPNS1,Up,1h
CAPRIN1,Up,1h
CAPRIN2,Up,1h
CAPZA2,Up,1h
CAPZB,Up,1h
CARD6,Up,1h
CARHSP1,Up,1h
CARKD,Up,1h
CARM1,Up,1h
CARNS1,Up,1h
CARS2,Up,1h
CASC3,Up,1h
CASKIN2,Up,1h
CASP10,Up,1h
CASP4,Up,1h
CASP8,Up,1h
CASS4,Up,1h
CAST,Up,1h
CASZ1,Up,1h
CBFA2T2,Up,1h
CBWD1,Up,1h
CBWD2,Up,1h
CBWD5,Up,1h
CBX1,Up,1h
CBX2,Up,1h
CC2D1A,Up,1h
CC2D1B,Up,1h
CCAR1,Up,1h
CCAR2,Up,1h
CCDC104,Up,1h
CCDC106,Up,1h
CCDC107,Up,1h
CCDC115,Up,1h
CCDC122,Up,1h
CCDC124,Up,1h
CCDC127,Up,1h
CCDC130,Up,1h
CCDC137,Up,1h
CCDC142,Up,1h
CCDC149,Up,1h
CCDC159,Up,1h
CCDC167,Up,1h
CCDC22,Up,1h
CCDC23,Up,1h
CCDC25,Up,1h
CCDC47,Up,1h
CCDC61,Up,1h
CCDC85B,Up,1h
CCDC85C,Up,1h
CCDC86,Up,1h
CCDC88B,Up,1h
CCDC88C,Up,1h
CCDC92,Up,1h
CCDC93,Up,1h
CCDC94,Up,1h
CCL28,Up,1h
CCM2,Up,1h
CCNB1,Up,1h
CCND1,Up,1h
CCND3,Up,1h
CCNE1,Up,1h
CCNI,Up,1h
CCNL2,Up,1h
CCNY,Up,1h
CCRL2,Up,1h
CCS,Up,1h
CCT2,Up,1h
CCT3,Up,1h
CCT4,Up,1h
CCT5,Up,1h
CCT6A,Up,1h
CCT7,Up,1h
CCT8,Up,1h
CCZ1,Up,1h
CD109,Up,1h
CD14,Up,1h
CD151,Up,1h
CD163,Up,1h
CD209,Up,1h
CD22,Up,1h
CD226,Up,1h
CD276,Up,1h
CD2BP2,Up,1h
CD300A,Up,1h
CD37,Up,1h
CD4,Up,1h
CD44,Up,1h
CD52,Up,1h
CD53,Up,1h
CD59,Up,1h
CD63,Up,1h
CD74,Up,1h
CD81,Up,1h
CD82,Up,1h
CD9,Up,1h
CD97,Up,1h
CD99,Up,1h
CD99L2,Up,1h
CDC123,Up,1h
CDC16,Up,1h
CDC20,Up,1h
CDC23,Up,1h
CDC26,Up,1h
CDC27,Up,1h
CDC34,Up,1h
CDC37,Up,1h
CDC42,Up,1h
CDC42BPB,Up,1h
CDC42EP2,Up,1h
CDC42EP4,Up,1h
CDC42SE1,Up,1h
CDC5L,Up,1h
CDC73,Up,1h
CDCA2,Up,1h
CDCA4,Up,1h
CDCA5,Up,1h
CDCA8,Up,1h
CDH24,Up,1h
CDK10,Up,1h
CDK11B,Up,1h
CDK12,Up,1h
CDK19,Up,1h
CDK2,Up,1h
CDK5,Up,1h
CDK5RAP1,Up,1h
CDK5RAP2,Up,1h
CDK5RAP3,Up,1h
CDK9,Up,1h
CDKN2C,Up,1h
CDKN2D,Up,1h
CDR2,Up,1h
CDR2L,Up,1h
CDS2,Up,1h
CDT1,Up,1h
CDV3,Up,1h
CDYL,Up,1h
CEACAM8,Up,1h
CEBPA,Up,1h
CECR6,Up,1h
CELF2,Up,1h
CEMIP,Up,1h
CENPB,Up,1h
CENPBD1P1,Up,1h
CENPF,Up,1h
CENPK,Up,1h
CENPO,Up,1h
CENPT,Up,1h
CEP128,Up,1h
CEP131,Up,1h
CEP152,Up,1h
CEP170B,Up,1h
CEP63,Up,1h
CERCAM,Up,1h
CERS2,Up,1h
CERS5,Up,1h
CES1,Up,1h
CES2,Up,1h
CFD,Up,1h
CFL1,Up,1h
CHAF1A,Up,1h
CHAMP1,Up,1h
CHCHD1,Up,1h
CHCHD10,Up,1h
CHCHD2,Up,1h
CHCHD3,Up,1h
CHCHD4,Up,1h
CHCHD5,Up,1h
CHCHD6,Up,1h
CHD1L,Up,1h
CHD4,Up,1h
CHD8,Up,1h
CHERP,Up,1h
CHFR,Up,1h
CHID1,Up,1h
CHKA,Up,1h
CHMP1A,Up,1h
CHMP2A,Up,1h
CHMP3,Up,1h
CHMP4B,Up,1h
CHMP5,Up,1h
CHMP6,Up,1h
CHMP7,Up,1h
CHORDC1,Up,1h
CHP1,Up,1h
CHPF,Up,1h
CHPF2,Up,1h
CHRM3,Up,1h
CHST10,Up,1h
CHST12,Up,1h
CHST2,Up,1h
CHTF8,Up,1h
CHTOP,Up,1h
CIAPIN1,Up,1h
CIB1,Up,1h
CIC,Up,1h
CINP,Up,1h
CIPC,Up,1h
CIRBP,Up,1h
CIRH1A,Up,1h
CISD3,Up,1h
CITED4,Up,1h
CIZ1,Up,1h
CKAP5,Up,1h
CKB,Up,1h
CKLF,Up,1h
CKS1B,Up,1h
CLASRP,Up,1h
CLCN2,Up,1h
CLCN6,Up,1h
CLCN7,Up,1h
CLDN1,Up,1h
CLEC11A,Up,1h
CLIC1,Up,1h
CLIC5,Up,1h
CLINT1,Up,1h
CLIP1,Up,1h
CLIP2,Up,1h
CLIP3,Up,1h
CLK1,Up,1h
CLK2,Up,1h
CLK3,Up,1h
CLN3,Up,1h
CLN6,Up,1h
CLNS1A,Up,1h
CLPP,Up,1h
CLPTM1,Up,1h
CLPTM1L,Up,1h
CLPX,Up,1h
CLSPN,Up,1h
CLSTN1,Up,1h
CLTA,Up,1h
CLTB,Up,1h
CLTCL1,Up,1h
CLUH,Up,1h
CMAS,Up,1h
CMC2,Up,1h
CMPK2,Up,1h
CMTM3,Up,1h
CMTM4,Up,1h
CMTR1,Up,1h
CNBP,Up,1h
CNDP2,Up,1h
CNIH3,Up,1h
CNIH4,Up,1h
CNN2,Up,1h
CNOT11,Up,1h
CNOT2,Up,1h
CNOT3,Up,1h
CNP,Up,1h
CNPPD1,Up,1h
CNPY2,Up,1h
CNPY3,Up,1h
CNTRL,Up,1h
CNTROB,Up,1h
COA1,Up,1h
COA4,Up,1h
COASY,Up,1h
COG1,Up,1h
COG4,Up,1h
COG7,Up,1h
COIL,Up,1h
COL18A1,Up,1h
COL23A1,Up,1h
COL27A1,Up,1h
COL4A2,Up,1h
COL5A3,Up,1h
COL6A1,Up,1h
COL6A2,Up,1h
